Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,repository,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
30-days-of-javascript-3.3.5,5863.0,1387.0,0.003192132911538323,0.009852216748768473,0.002715575180907705,0.0051719682796645215,0.010794363027002398,0.028142589118198873,0.005544682409260931,0.014144296563651402,0.0035941440101628407,0.017154389505549948,0.004224560374963193,0.005112920127841588,0.0,0.0,0.0,54,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11074844262378601,0.1843453298350772,0.7783283537314114,0.2344977967946406,0.09311609299005873,0.19206566076031048,0.8152957320921062,0.0,991,83,0,2,0,0.05321560532602671,0.1031909554970766,0.29583638929116374,-0.0,0.36401437737103615,0.20355905336596075,0.5682058170504551,0.5,18,4,9,2,0
abha-3.9.0,39.0,15.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.0,-0.0,0.16545842152810686,0.20754587045917597,0.5291370994748428,0.36788083803671057,18,11,0,1,0,0.0,0.0,-0.0,-0.0,0.1945929870429736,0.22500201952982635,0.6893917467430878,0.37153315034899564,11,10,3,0,0
ace-colorpicker-rpk-0.0.13,106364.0,30519.0,0.0009573796714671771,0.015414258188824663,0.0021684972829052497,0.0007362135563345035,0.006036816650241395,0.024737767537743285,0.006008434363771071,0.009527184633982291,0.0020619782736759455,0.017223910840932118,0.0029242425605985056,0.0035211704172091003,39.0,0.0,0.0,168,88,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,195,1,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10695581917087432,0.16979318566277157,0.8322488896002308,0.25162916738782287,0.3177407252869477,0.24850769089045485,0.792481250360578,0.5,41347,4026,1062,2991,28,0.14767416645234677,0.14735025016347272,0.5948659584103665,0.2427303803729567,0.27653641598244383,0.23936890651762427,0.7097781492858066,0.5,27,32,27,3,3
axios-1.13.2,47624.0,14018.0,0.0010613845264025397,0.00938337801608579,0.0019718971506695973,0.0013733486390835607,0.008734116849505988,0.03125,0.008126847074762139,0.01120721632046371,0.0014842735363759,0.00878003696857671,0.0020340401381236653,0.0022891253038678436,80.0,0.0,29.0,588,239,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09631816186802025,0.15984858907935748,0.8962406251802889,0.2197484934607567,0.1577113055382882,0.20735277324890067,0.8191266797356374,0.3420192178195208,19857,5676,539,410,17,0.1469157832357936,0.1539673111790114,0.5679079989868819,0.25162916738782287,0.25921284555722096,0.21420796754391191,0.792481250360578,0.47721700146248247,85,117,58,18,1
bignum-0.12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,52,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.045524148375260046,0.09729417757941898,0.32501121082417705,0.0,0.2595657106945529,0.21017319580293686,0.5049900271903642,0.4591479170272448,26,18,9,3,0
body-parser-2.2.1,2202.0,821.0,0.0007266379864491301,0.0022105554020447637,0.0009424102258467533,0.0014379552515495736,0.008331478542490476,0.011329096435479415,0.0033680525268415095,0.010547125268460496,0.0001974802438382942,0.0008289582757667864,0.0003465155248017708,0.0002767017155506364,0.0,0.0,0.0,112,53,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058512338232477604,0.10820554779940239,0.4854752972273343,0.0,0.11235508100595505,0.1873276108283115,0.7427376486136672,0.21653847638352175,527,121,0,5,0,0.09381712400838978,0.11793628846875329,0.29583638929116374,0.2197484934607567,0.2966621571583463,0.204894501507309,0.5744174271404584,0.4926140680171258,23,16,19,2,0
bundled-deps-poc-1.0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,4,2,0,0,0,0.009673232160947662,0.037464267063348274,0.1547717145751626,0.0,0.16444886760589808,0.18581886741914141,0.4854752972273343,0.2717822215997982,15,9,2,0,0
chalk-5.6.2,2090.0,710.0,0.002989022112035456,0.011033099297893681,0.004600184569810632,0.0024733637747336376,0.017024662525362697,0.025075225677031094,0.005629568933858741,0.01841109709962169,0.003731354096825039,0.011225266362252663,0.0045784068501624675,0.004915254237288135,4.0,0.0,0.0,141,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12590488087601875,0.16228209679905475,0.692215752170299,0.24495507712667325,0.20500910044603962,0.23475616326276744,0.8962406251802889,0.32501121082417705,521,41,2,8,1,0.09176276107467489,0.14488025249483388,0.5,0.22343581929422768,0.1762717180932271,0.2149015174662552,0.5,0.4284750855868158,30,36,15,1,0
commander-14.0.2,14272.0,4225.0,0.001032129280546399,0.004329004329004329,0.0015684507194672049,0.0012762255506524743,0.010554423128052421,0.019704433497536946,0.005873447039318605,0.01385042984170166,0.0020885847866195175,0.010822510822510822,0.003880550743475588,0.001101114768452005,0.0,1.0,6.0,193,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12450589552867676,0.14752446364602034,0.5204260414863776,0.25162916738782287,0.0970645005712618,0.17071515035620133,0.75,0.2197484934607567,2191,402,0,1,2,0.09008278676769123,0.1352656195000112,0.4591479170272448,0.22712314512769866,0.17009231528715357,0.2043955663787988,0.5,0.37479762862974,37,60,15,1,0
cors-2.8.5,661.0,239.0,0.0006039559112184811,0.0006039559112184811,0.0,0.0006039559112184811,0.008757360712667975,0.008757360712667975,0.0,0.008757360712667975,0.0019628567114600634,0.0019628567114600634,0.0,0.0019628567114600634,0.0,0.0,0.0,82,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06459060894325204,0.10985679058115377,0.4591479170272448,0.17667966751071068,0.2365049419011651,0.23568821956251573,0.6079374812211202,0.49173185805587794,252,11,0,0,0,0.01551256038855577,0.051521936152081116,0.19562178181462783,0.0,0.25094243111118003,0.2246906289226844,0.612197222702993,0.4591479170272448,22,18,10,4,0
debug-4.4.3,2393.0,841.0,0.0018368178425502038,0.002961082910321489,0.0013548433786671453,0.0028010082546953397,0.016276122337421324,0.03503184713375796,0.012831189421410484,0.019278569158710637,0.0015985541584003097,0.003036876355748373,0.0014275997557986763,0.002662772388429479,3.0,0.0,0.0,138,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06423846871646532,0.11155276330358,0.4728301523003201,0.17667966751071068,0.36778095829582674,0.3231773784903944,0.9182958340544896,0.6893917467430879,527,76,0,81,0,0.05537350141864509,0.09272244372700943,0.25162916738782287,0.16137847944869915,0.23357827583520843,0.2224663682860099,0.6479181946455819,0.4605118709535188,30,30,15,4,0
eslint-9.39.2,306666.0,102203.0,0.00021312004346523677,0.003944434916823872,0.0004751667273195464,0.00022319551618365507,0.006869005302742489,0.02234927234927235,0.0036585412308285862,0.008695301546277234,0.0014207765337846193,0.005097706032285472,0.00102310256056611,0.0020051962040014094,136.0,0.0,705.0,527,227,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10611724106712775,0.13435785274211937,0.6854752972273344,0.2344977967946406,0.13738532405306236,0.18009294613066146,0.9232196723355077,0.29583638929116374,50779,13761,2,395,676,0.15255868847949644,0.15036744873712063,0.7177602521413333,0.25404179735798477,0.2871697799860345,0.22703889217252693,0.6893917467430878,0.49701510573847824,76,97,81,4,2
express-5.2.1,8348.0,2773.0,0.0007831402861945365,0.0023628248884221582,0.000827989093850398,0.0010091482176454608,0.009948907999926575,0.013447432762836185,0.00342332198241322,0.012593176630745731,0.0007409740721604303,0.002100288789708585,0.000775337200647094,0.0010976625725613214,25.0,0.0,0.0,227,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04373870798609925,0.10577329326127369,0.5,0.0,0.1038569974660713,0.18238763281330023,0.7783283537314114,0.20690842515181687,1861,287,0,7,0,0.07810755989575406,0.10961419254077993,0.3499214199431193,0.18811756794398532,0.28734589599405835,0.20236589168407185,0.6854752972273344,0.4854752972273343,44,39,37,3,1
ikarem-telemetry-100.1.2,61.0,16.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0031746031746031746,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,19,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05235731841243161,0.10174916657646463,0.2717822215997982,-0.0,0.1682729083030276,0.22811210120520053,0.5783898247235197,0.32840021836742245,15,19,0,0,0,0.035146266852546015,0.08342503569152768,0.2612796872684704,0.0,0.21192247475537465,0.20773533615424047,0.50212545511664,0.42538535202663,11,8,4,1,0
jsondatatoruby-1.999.10,51.0,8.0,0.0,0.0,0.0,0.0,0.0022675736961451248,0.0022675736961451248,0.0,0.0022675736961451248,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.0,0.0,0.2832323957425887,0.2544778495502981,0.6832151788850338,0.5,9,15,0,8,4,0.0,0.0,-0.0,-0.0,0.19039107993782792,0.2202253307873905,0.6893917467430878,0.37153315034899564,11,10,3,0,0
