Package Name,repository,Prediction,Malicious_Probability,Package_Type
30-days-of-javascript-3.3.5,1,Benign,0.04939653845909614,NPM
abha-3.9.0,1,Malicious,0.5114170135650675,NPM
ace-colorpicker-rpk-0.0.13,1,Benign,0.03346334205035242,NPM
axios-1.13.2,1,Benign,0.029388011084729684,NPM
bignum-0.12.2,1,Benign,0.48239752443917416,NPM
body-parser-2.2.1,1,Benign,0.07449069998569759,NPM
bundled-deps-poc-1.0.0,1,Benign,0.49442548055953234,NPM
chalk-5.6.2,1,Benign,0.03536032654584509,NPM
commander-14.0.2,1,Benign,0.037175597908045276,NPM
cors-2.8.5,1,Benign,0.11558230904056783,NPM
debug-4.4.3,1,Benign,0.05157219785502384,NPM
eslint-9.39.2,1,Benign,0.02950318551197846,NPM
express-5.2.1,1,Benign,0.04194778280428207,NPM
ikarem-telemetry-100.1.2,1,Benign,0.49228888898725537,NPM
jsondatatoruby-1.999.10,1,Malicious,0.5217926896428792,NPM
lodash-4.17.21,1,Benign,0.06388858921192798,NPM
mui-wrapper-icons-99.99.1,1,Malicious,0.5945555377139093,NPM
raven-hubspot-20.0.0,1,Malicious,0.5151563298043838,NPM
semver-7.7.3,1,Benign,0.053509681750847186,NPM
typescript-5.9.3,1,Benign,0.03878991977246891,NPM
uuid-13.0.0,1,Benign,0.04664078163760266,NPM
vscode-azure-mcp-server-1.0.0,1,Malicious,0.50622225834442,NPM
vue2-amis-custom-widget-pro-1.0.2,1,Benign,0.11869713487245366,NPM
webpack-5.104.1,1,Benign,0.029042954088920516,NPM
0x000testqwe-5.20.4,2,Malicious,0.5395298048088877,PyPI
10Cent10-999.0.4,2,Malicious,0.5187520234144,PyPI
10Cent11-999.0.4,2,Malicious,0.5187520234144,PyPI
12Cent-999.0.0,2,Benign,0.40283046497293223,PyPI
aiottp-0.1,2,Benign,0.20311173159663462,PyPI
ajenti_plugin_testing_pyld-0.99.999,2,Benign,0.37459984245340955,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.5298909166569687,PyPI
aws-login0tool-0.0.14,2,Benign,0.25147533639259045,PyPI
beautifulsoupp-0.1,2,Benign,0.20311173159663462,PyPI
bigip-99.0.0,2,Benign,0.498825761623773,PyPI
bitcinlib-0.1,2,Benign,0.20311173159663462,PyPI
bitcoilnib-0.1,2,Benign,0.20311173159663462,PyPI
bitcoinliv-4.5.2,2,Benign,0.3053124743503437,PyPI
cccxt-0.1,2,Benign,0.20311173159663462,PyPI
clicck-0.1,2,Benign,0.20311173159663462,PyPI
clickk-0.1,2,Benign,0.20311173159663462,PyPI
coolrama-0.1,2,Benign,0.20311173159663462,PyPI
craftencode-2.14,2,Benign,0.19120751135824768,PyPI
f5_logger-99.0.0,2,Benign,0.49895731093349216,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.036166227394653506,PyPI
hdc_py-0.1.3,2,Benign,0.13991412563794758,PyPI
mcard-0.1.39,2,Benign,0.0365949946918048,PyPI
moose_lib-0.6.298,2,Benign,0.03408301043055266,PyPI
pandas-3.0.0rc1,2,Benign,0.06269064875245621,PyPI
pygeofilter-0.3.3,2,Benign,0.032649729638790606,PyPI
python_ceair_helper-0.1.4,2,Benign,0.0823935282822195,PyPI
python_invar-0.2.0,2,Benign,0.0652461719248133,PyPI
requests-2.31.0,2,Benign,0.03435124066868085,PyPI
sciv-0.0.78,2,Benign,0.06235171981928369,PyPI
typerconf-2.10,2,Benign,0.4348759376137304,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.08305516359145812,PyPI
vibego-1.3.24,2,Benign,0.06341467266986775,PyPI
vorp-0.1.11,2,Benign,0.06690509960659834,PyPI
