Package Name,repository,Prediction,Malicious_Probability,Package_Type
30-days-of-javascript-3.3.5,1,Benign,0.009005178,NPM
abha-3.9.0,1,Malicious,0.9370845,NPM
ace-colorpicker-rpk-0.0.13,1,Benign,0.0114142,NPM
axios-1.13.2,1,Benign,0.0064259013,NPM
bignum-0.12.2,1,Malicious,0.71950513,NPM
body-parser-2.2.1,1,Benign,0.0068613435,NPM
bundled-deps-poc-1.0.0,1,Malicious,0.5957821,NPM
chalk-5.6.2,1,Benign,0.012182003,NPM
commander-14.0.2,1,Benign,0.0034120183,NPM
cors-2.8.5,1,Benign,0.03147992,NPM
debug-4.4.3,1,Benign,0.015406062,NPM
eslint-9.39.2,1,Benign,0.018039541,NPM
express-5.2.1,1,Benign,0.014005081,NPM
ikarem-telemetry-100.1.2,1,Malicious,0.87370175,NPM
jsondatatoruby-1.999.10,1,Malicious,0.9835211,NPM
lodash-4.17.21,1,Benign,0.03036739,NPM
mui-wrapper-icons-99.99.1,1,Malicious,0.9292055,NPM
raven-hubspot-20.0.0,1,Malicious,0.9509592,NPM
semver-7.7.3,1,Benign,0.008605925,NPM
typescript-5.9.3,1,Benign,0.02367608,NPM
uuid-13.0.0,1,Benign,0.07295987,NPM
vscode-azure-mcp-server-1.0.0,1,Malicious,0.9710424,NPM
vue2-amis-custom-widget-pro-1.0.2,1,Benign,0.04132234,NPM
webpack-5.104.1,1,Benign,0.010082088,NPM
0x000testqwe-5.20.4,2,Malicious,0.9709358,PyPI
10Cent10-999.0.4,2,Malicious,0.9881924,PyPI
10Cent11-999.0.4,2,Malicious,0.9881924,PyPI
12Cent-999.0.0,2,Malicious,0.93279743,PyPI
aiottp-0.1,2,Malicious,0.53236794,PyPI
ajenti_plugin_testing_pyld-0.99.999,2,Malicious,0.87950504,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.97850615,PyPI
aws-login0tool-0.0.14,2,Malicious,0.5997665,PyPI
beautifulsoupp-0.1,2,Malicious,0.53236794,PyPI
bigip-99.0.0,2,Malicious,0.96092325,PyPI
bitcinlib-0.1,2,Malicious,0.53236794,PyPI
bitcoilnib-0.1,2,Malicious,0.53236794,PyPI
bitcoinliv-4.5.2,2,Malicious,0.6056685,PyPI
cccxt-0.1,2,Malicious,0.53236794,PyPI
clicck-0.1,2,Malicious,0.53236794,PyPI
clickk-0.1,2,Malicious,0.53236794,PyPI
coolrama-0.1,2,Malicious,0.53236794,PyPI
craftencode-2.14,2,Benign,0.16067235,PyPI
f5_logger-99.0.0,2,Malicious,0.97177786,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.002980514,PyPI
hdc_py-0.1.3,2,Benign,0.12383005,PyPI
mcard-0.1.39,2,Benign,0.0054107634,PyPI
moose_lib-0.6.298,2,Benign,0.004245069,PyPI
pandas-3.0.0rc1,2,Benign,0.004762332,PyPI
pygeofilter-0.3.3,2,Benign,0.004736403,PyPI
python_ceair_helper-0.1.4,2,Benign,0.014727279,PyPI
python_invar-0.2.0,2,Benign,0.0057547814,PyPI
requests-2.31.0,2,Benign,0.28562993,PyPI
sciv-0.0.78,2,Benign,0.007620186,PyPI
typerconf-2.10,2,Benign,0.3830467,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.05312011,PyPI
vibego-1.3.24,2,Benign,0.0065104263,PyPI
vorp-0.1.11,2,Benign,0.015430208,PyPI
