Package Name,repository,Prediction,Malicious_Probability,Package_Type
30-days-of-javascript-3.3.5,1,Benign,0.01596351197263398,NPM
abha-3.9.0,1,Malicious,1.0,NPM
ace-colorpicker-rpk-0.0.13,1,Benign,0.01596351197263398,NPM
axios-1.13.2,1,Benign,0.01596351197263398,NPM
bignum-0.12.2,1,Benign,0.275,NPM
body-parser-2.2.1,1,Benign,0.01596351197263398,NPM
bundled-deps-poc-1.0.0,1,Benign,0.275,NPM
chalk-5.6.2,1,Benign,0.01596351197263398,NPM
commander-14.0.2,1,Benign,0.01596351197263398,NPM
cors-2.8.5,1,Benign,0.01596351197263398,NPM
debug-4.4.3,1,Benign,0.01596351197263398,NPM
eslint-9.39.2,1,Benign,0.01596351197263398,NPM
express-5.2.1,1,Benign,0.01596351197263398,NPM
ikarem-telemetry-100.1.2,1,Malicious,1.0,NPM
jsondatatoruby-1.999.10,1,Malicious,1.0,NPM
lodash-4.17.21,1,Benign,0.3333333333333333,NPM
mui-wrapper-icons-99.99.1,1,Malicious,1.0,NPM
raven-hubspot-20.0.0,1,Malicious,1.0,NPM
semver-7.7.3,1,Benign,0.01596351197263398,NPM
typescript-5.9.3,1,Benign,0.01596351197263398,NPM
uuid-13.0.0,1,Benign,0.01596351197263398,NPM
vscode-azure-mcp-server-1.0.0,1,Malicious,1.0,NPM
vue2-amis-custom-widget-pro-1.0.2,1,Benign,0.01596351197263398,NPM
webpack-5.104.1,1,Benign,0.01596351197263398,NPM
