Package Name,repository,Prediction,Malicious_Probability,Package_Type
0x000testqwe-5.20.4,2,Malicious,0.8081184031400142,PyPI
10Cent10-999.0.4,2,Malicious,0.8281753095658292,PyPI
10Cent11-999.0.4,2,Malicious,0.8281753095658292,PyPI
12Cent-999.0.0,2,Malicious,0.5280298154585109,PyPI
aiottp-0.1,2,Benign,0.14854474846603344,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.6191919924745091,PyPI
aws-login0tool-0.0.14,2,Benign,0.21206135073374285,PyPI
beautifulsoupp-0.1,2,Benign,0.14854474846603344,PyPI
bitcinlib-0.1,2,Benign,0.14854474846603344,PyPI
bitcoilnib-0.1,2,Benign,0.14854474846603344,PyPI
bitcoinliv-4.5.2,2,Benign,0.16577637449002505,PyPI
cccxt-0.1,2,Benign,0.14854474846603344,PyPI
clicck-0.1,2,Benign,0.14854474846603344,PyPI
clickk-0.1,2,Benign,0.14854474846603344,PyPI
coolrama-0.1,2,Benign,0.14854474846603344,PyPI
craftencode-2.14,2,Benign,0.4848771000790078,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.05586022844560583,PyPI
hdc_py-0.1.3,2,Benign,0.10831342676838246,PyPI
mcard-0.1.39,2,Benign,0.03183583431579449,PyPI
moose_lib-0.6.298,2,Benign,0.014111264741103385,PyPI
pandas-3.0.0rc1,2,Benign,0.03783175036289208,PyPI
pygeofilter-0.3.3,2,Benign,0.030886126577750465,PyPI
python_ceair_helper-0.1.4,2,Benign,0.04216697750246829,PyPI
python_invar-0.2.0,2,Benign,0.039682917500632485,PyPI
requests-2.31.0,2,Benign,0.05067418812662313,PyPI
sciv-0.0.78,2,Benign,0.03689815594412816,PyPI
typerconf-2.10,2,Malicious,0.5498106662056629,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.04306960855874702,PyPI
vibego-1.3.24,2,Benign,0.03832272774913475,PyPI
vorp-0.1.11,2,Benign,0.04109360967732341,PyPI
