Package Name,repository,Ground_true,Prediction,Malicious_Probability,Package_Type
0x000testqwe-5.20.4,2,Malicious,Malicious,0.808118403,PyPI
10Cent10-999.0.4,2,Malicious,Malicious,0.82817531,PyPI
10Cent11-999.0.4,2,Malicious,Malicious,0.82817531,PyPI
12Cent-999.0.0,2,Malicious,Malicious,0.528029815,PyPI
aiottp-0.1,2,Malicious,Benign,0.148544748,PyPI
ajenti_plugin_testing_pyld-0.99.999,2,Malicious,Malicious,0.719727686,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,Malicious,0.619191992,PyPI
aws-login0tool-0.0.14,2,Malicious,Benign,0.212061351,PyPI
beautifulsoupp-0.1,2,Malicious,Benign,0.148544748,PyPI
bigip-99.0.0,2,Malicious,Malicious,0.762703944,PyPI
bitcinlib-0.1,2,Malicious,Benign,0.148544748,PyPI
bitcoilnib-0.1,2,Malicious,Benign,0.148544748,PyPI
bitcoinliv-4.5.2,2,Malicious,Benign,0.165776374,PyPI
cccxt-0.1,2,Malicious,Benign,0.148544748,PyPI
clicck-0.1,2,Malicious,Benign,0.148544748,PyPI
clickk-0.1,2,Malicious,Benign,0.148544748,PyPI
coolrama-0.1,2,Malicious,Benign,0.148544748,PyPI
craftencode-2.14,2,Malicious,Benign,0.4848771,PyPI
f5_logger-99.0.0,2,Malicious,Malicious,0.747797807,PyPI
fast_backend_builder-0.1.3.51,2,Benign,Benign,0.055860228,PyPI
hdc_py-0.1.3,2,Benign,Benign,0.108313427,PyPI
mcard-0.1.39,2,Benign,Benign,0.031835834,PyPI
moose_lib-0.6.298,2,Benign,Benign,0.014111265,PyPI
pandas-3.0.0rc1,2,Benign,Benign,0.03783175,PyPI
pygeofilter-0.3.3,2,Benign,Benign,0.030886127,PyPI
python_ceair_helper-0.1.4,2,Benign,Benign,0.042166978,PyPI
python_invar-0.2.0,2,Benign,Benign,0.039682918,PyPI
requests-2.31.0,2,Benign,Benign,0.050674188,PyPI
sciv-0.0.78,2,Benign,Benign,0.036898156,PyPI
typerconf-2.10,2,Benign,Malicious,0.549810666,PyPI
unxt_hypothesis-1.8.0,2,Benign,Benign,0.043069609,PyPI
vibego-1.3.24,2,Benign,Benign,0.038322728,PyPI
vorp-0.1.11,2,Benign,Benign,0.04109361,PyPI
